# ترتيب التطبيق الفعلي على قاعدة Supabase (لندن ثم جدة) ترحيلا ترحيلا، والملف الذي يحمله في المستودع.
# الحالة: exact مطابق حرفيا | merged مضمن في ملف يضم ترحيلات عدة | edited الملف نسخة معدلة لاحقا بالاسم نفسه | filled كان فارغا وملئ بالمطبق | added اضيف 2026-09-11
# للبناء من الصفر: يطبق كل ملف مرة واحدة عند اول ظهور له في هذا الترتيب (tools/db-fresh-build.sh)
# version	name	file	status
20260904081039	notify_target_identity	0016_notify_target_identity.sql	exact
20260904081238	telegram_messages_log	0017_telegram_messages_log.sql	edited
20260904081438	telegram_messages_log_returns_owner	0017_telegram_messages_log.sql	merged
20260904084135	telegram_bot_menu	0018_telegram_bot_menu.sql	exact
20260904095046	telegram_import	0021_telegram_import.sql	exact
20260904100222	telegram_actions	0022_telegram_actions.sql	exact
20260904102116	rasi_matrix	0023_rasi_matrix.sql	merged
20260904102155	telegram_search_roles	0023_rasi_matrix.sql	merged
20260904103003	distribute_simple	0024_distribute_simple.sql	exact
20260904103432	quick_add_item	0025_quick_add_item.sql	exact
20260904103928	tasks_belong_to_cases	0026_tasks_belong_to_cases.sql	exact
20260904104143	chat_files	0027_chat_files.sql	exact
20260904105458	tracker_0021_processes_and_risks	0103_processes_and_risks.sql	added
20260904110859	api_keys_and_v1_endpoints	0104_api_keys_and_v1_endpoints.sql	added
20260904184035	tracker_0028_security_hardening	0028_security_hardening.sql	exact
20260904184633	tracker_0029_org_profile_and_papers	0029_org_profile_and_papers.sql	exact
20260904185242	platform_admins_management	0030_platform_admins_management.sql	exact
20260904190018	individual_entity	0031_individual_entity.sql	exact
20260904200356	departments_visibility	0032_departments.sql	exact
20260904201153	org_requires_registration	0033_org_requires_registration.sql	exact
20260904205655	notify_rpcs_expose_profile_tz	0034_notify_rpcs_expose_profile_tz.sql	exact
20260904210849	drive_storage	0035_drive_storage.sql	merged
20260904211541	drive_storage_quota	0035_drive_storage.sql	merged
20260904212126	profile_display_name_and_time_format	0036_profile_display_name_and_time_format.sql	exact
20260904213434	registration_expiry_optional	0037_registration_expiry_optional.sql	exact
20260904214633	tracker_0038_org_name_arabic_and_english	0038_org_name_arabic_and_english.sql	edited
20260904214711	tracker_0039_bilingual_at_least_one	0038_org_name_arabic_and_english.sql	merged
20260904215830	tracker_0040_client_name_english	0040_client_name_english.sql	exact
20260904224016	translations_cache	0041_translations_cache.sql	exact
20260905000106	tracker_0042_case_file	0042_case_file.sql	exact
20260905001605	cr_number_starts_with_700	0042_cr_number_starts_with_700.sql	edited
20260905093314	channel_user_lookup	0043_channel_user_lookup.sql	exact
20260905094348	telegram_history	0044_telegram_history.sql	exact
20260905095640	telegram_items_by_kind	0045_telegram_items_by_kind.sql	exact
20260905095943	telegram_company_profile	0046_telegram_company_profile.sql	edited
20260905100702	telegram_company_profile_owner_first	0046_telegram_company_profile.sql	merged
20260905101300	telegram_active_org	0047_telegram_active_org.sql	exact
20260905101816	telegram_replies_and_document_numbers	0105_telegram_replies_and_document_numbers.sql	added
20260905105536	platform_admin_chats	0049_platform_admin_chats.sql	exact
20260905105627	team_workload_and_item_reminders	0106_team_workload_and_item_reminders.sql	added
20260905105646	cron_honours_item_reminder	0049_team_workload_and_item_reminders.sql	merged
20260905105721	parse_before_days_and_plurals	0107_parse_before_days_and_plurals.sql	added
20260905105742	parse_before_two_months	0049_team_workload_and_item_reminders.sql	merged
20260905110212	tidy_functions_before_handover	0108_tidy_functions_before_handover.sql	added
20260905112435	telegram_save_document	0050_telegram_save_document.sql	exact
20260905141548	telegram_items_numbers_and_expenses	0051_telegram_numbers_and_expenses.sql	exact
20260905142014	notification_payload_carries_paper_number	0052_notification_payload_number.sql	exact
20260905194032	week_summary	0053_week_summary.sql	exact
20260905194205	items_completed_at	0054_items_completed_at.sql	exact
20260905194402	week_summary_completed_at_fallback	0055_week_summary_completed_fallback.sql	exact
20260905195534	telegram_writes_follow_active_org	0056_telegram_writes_follow_active_org.sql	exact
20260905201010	clean_placeholder_refs_and_overview	0057_telegram_overview_and_clean_refs.sql	exact
20260905202743	ui_packs	0058_ui_packs.sql	exact
20260905202816	pack_config	0059_pack_config.sql	edited
20260905202858	pack_for_no_auto_switch	0059_pack_config.sql	merged
20260905223531	telegram_platform_admin_stats	0060_telegram_platform_admin_stats.sql	exact
20260905223606	pack_order_person_business_trainer_legal	0109_pack_order_person_business_trainer_legal.sql	added
20260905223723	business_pack_full_services	0110_business_pack_full_services.sql	added
20260905223806	pack_shared_core_then_speciality	0111_pack_shared_core_then_speciality.sql	added
20260905224417	packs_clinic_and_engineer	0112_packs_clinic_and_engineer.sql	added
20260905224556	packs_departments_hr_finance_sales_procurement_marketing_design	0113_packs_departments_hr_finance_sales_procurement_marketing_design.sql	added
20260905225822	account_deletion	0062_account_deletion.sql	exact
20260905230602	calendar_tokens_no_anon_table_access	0064_calendar_tokens_no_anon_table_access.sql	exact
20260905230751	capture_api_keys_and_attachments_bucket	0063_capture_api_keys_and_attachments_bucket.sql	exact
20260905231521	pack_screen_tiles_and_columns	0114_pack_screen_tiles_and_columns.sql	added
20260906082321	platform_stats_users_count	0115_platform_stats_users_count.sql	added
20260906083156	admin_list_users	0116_admin_list_users.sql	added
20260906083228	admin_packs_read_and_set	0117_admin_packs_read_and_set.sql	added
20260906083509	platform_stats_inapp_channel	0063_platform_stats_inapp_channel.sql	exact
20260906084512	platform_stats_items_no_due	0064_platform_stats_items_no_due.sql	exact
20260906084833	platform_stats_telegram_messages	0066_platform_stats_telegram_messages.sql	exact
20260906103523	notifications_channel_inapp	0067_notifications_channel_inapp.sql	exact
20260907111241	processes_library_publishing	0068_processes_library_publishing.sql	exact
20260907195540	business_yearly_plan	0069_business_yearly_plan.sql	exact
20260907204448	close_cross_org_reads	0070_close_cross_org_reads.sql	exact
20260907212010	pack_names_one_pattern	0071_pack_names_one_pattern.sql	exact
20260907212328	pack_follows_account_type	0072_pack_follows_account_type.sql	exact
20260907212831	solo_accounts_have_no_team	0073_solo_accounts_have_no_team.sql	exact
20260907213624	paid_extra_seats	0074_paid_extra_seats.sql	exact
20260907213905	interface_per_member	0075_interface_per_member.sql	edited
20260907213932	only_owner_or_admin_changes_interface	0075_interface_per_member.sql	merged
20260907222055	four_tiers_and_personal_default	0076_four_tiers_and_personal_default.sql	exact
20260907222618	enterprise_yearly_7000	0077_yearly_prices.sql	merged
20260907222721	startup_yearly_5000	0077_yearly_prices.sql	merged
20260907223250	price_ladder_and_trial_not_richer	0078_price_ladder.sql	exact
20260907224450	payments_and_auto_activation	0079_payments.sql	exact
20260907225855	absence_nudge_over_telegram	0118_absence_nudge_over_telegram.sql	added
20260907230127	upcoming_papers_within_platform_window	0080_upcoming_papers_window.sql	exact
20260907231221	process_areas_follow_the_interface	0119_process_areas_follow_the_interface.sql	added
20260907231916	daily_trial_countdown_over_telegram	0120_daily_trial_countdown_over_telegram.sql	added
20260907234724	paypal_orders	0121_paypal_orders.sql	added
20260907235908	company_papers_add_iban_quotation_invoice	0083_company_papers_iban_quotation_invoice.sql	exact
20260908004146	drive_server_oauth	0067_drive_server_oauth.sql	exact
20260908004812	drive_conn_admin_only_write	0068_drive_conn_admin_only_write.sql	exact
20260908005055	drive_can_connect_precheck	0084_drive_can_connect_precheck.sql	exact
20260908005742	drive_conn_revert_to_member	0085_drive_conn_revert_to_member.sql	exact
20260908012943	org_profiles_account_number	0086_org_profiles_account_number.sql	exact
20260908014628	worker_grants_and_secret_oracle	0087_worker_grants_and_secret_oracle.sql	exact
20260908014917	worker_secret_rotation	0088_worker_secret_rotation.sql	exact
20260908122851	person_signs_up_without_papers	0089_person_signs_up_without_papers.sql	exact
20260908123336	join_an_existing_account	0090_join_an_existing_account.sql	exact
20260910204303	rename_trackers_to_records	0064_rename_trackers_to_records.sql	exact
20260910204712	api_key_prefix_mz_live	0122_api_key_prefix_mz_live.sql	added
# ملفات في المستودع بلا ترحيل مسجل بهذا المحتوى في Supabase (طبقت بصياغة اخرى او عبر execute_sql مباشرة):
#	-	0016_api_keys_and_v1.sql	orphan
#	-	0048_telegram_replies_and_document_numbers.sql	orphan
#	-	0060_pack_order.sql	orphan
#	-	0061_packs_twelve.sql	orphan
#	-	0063_pack_screen.sql	orphan
#	-	0064_admin_users_and_packs.sql	orphan
#	-	0065_platform_stats_users_count.sql	orphan
#	-	0068_legal_rulings_and_contracts.sql	orphan
#	-	0069_purge_grant.sql	orphan
#	-	0080_absence_nudge.sql	orphan
#	-	0081_process_areas_follow_pack.sql	orphan
#	-	0082_trial_countdown.sql	orphan
20260911120000	drive_standard_sweep	0123_drive_standard_sweep.sql	added
20260911123000	storage_quotas_local_server	0124_storage_quotas_local_server.sql	added
20260911130000	plan_names_monshaat_classification	0125_plan_names_monshaat_classification.sql	added
20260911133000	plan_tiers_official_terms	0126_plan_tiers_official_terms.sql	added
20260911134500	three_plans_startup	0127_three_plans_startup.sql	added
20260911135500	four_plans_micro_large	0128_four_plans_micro_large.sql	added
20260911140500	large_6999_vat_excluded_all	0129_large_6999_vat_excluded_all.sql	added
20260911141500	national_day_96_prices	0130_national_day_96_prices.sql	added
20260911150000	ledger_audit_trail	0131_ledger_audit_trail.sql	added
20260911160000	payments_vat_at_checkout	0132_payments_vat_at_checkout.sql	added
20260911163000	vat_included_individuals	0133_vat_included_individuals.sql	added
